1|Ivermectin works. I know this because 🤣 my entire family took it. Idgaf what the experts say. I watched it save the life of my 76 year old MIL who they were going to put on a intubation before we had her discharged. We live in a world of lies.|2
2|The CDC is recommending ivermectin to incoming refugees - wow!! This is replacement of US citizens - no question 100% - they don’t have to get the shot - evil mixture of who knows what injected and now they get ivermectin as a prophylactic!!|0
3|Anti-parasite drug ivermectin can suppress ovarian cancer by regulating lncRNA-EIF4A3-mRNA axes|1
4|So I can go to a safe injection site and have someone watch me do heroine that was purchased from the street but Ivermectin from a Doctor is far too dangerous to my health……. Right……|0
5|"I’m going to the hospital. They say I can’t come in. I don’t care. I’m advocating for MY MOTHER. They will NOT put her on a vent , they will NOT give her remdesevere .. they WILL give her Hydroxychloroquine and ivermectin. If I end up in jail i don’t care. I’ll get in.. try me."|0
6|"Don’t shoot the messenger....but you better pay attention. All the drugs “they” said we shouldn’t take, like Ivermectin, Hydroxychloriquine and Quercetin are all part of defense to snake venom. You can’t make this up"|0
7|I'm old and fat and non-vaxxed. I started taking 7500 IU of vitamin D3 per day. Quercetin and zinc 2 times/week. Got on treadmill 10 miles a week. Got Omicron in Jan. Took 48 mg of ivermectin per day or 2 days. Mildly ill for 36 hours. Now I rarely get sick.|2
8|Yes it does!! I’m a Registered Respiratory Therapist who has worked in COVID ICU units yet I treated my husband and myself successfully with IVERMECTIN!|2
9|"Dr. Paul Marik: ""Ivermectin is the biggest threat to the vaccine industry, which is worth a trillion or more dollars. It's the biggest threat to this global conspiracy. So they will do whatever they can....to discredit it."""|0
10|"My 4yo Trans daughter started identifying as a furry a few days ago. In order to be supportive and to provide her with the healthcare she obviously needs,I gave her Ivermectin. When I told them, my Trans feminist book club called me 'science denier'. I'm not sure how to react "|0
11|They could not find a good enough excuse to remove their Ivermectin malaria meds that just so happened to protect them from other parasites - BIG PHARMA and Gates.|0
12|"The LORD hears. Thank you for praying my mother has opted to Come home and take the meds that work. Ivermectin/monoclonal antibodies, and Hydroxychloroquine. It’s a CRIME they don’t offer what works in the hospital. Absolutely a crime. Please pray for my moms recovery. Thank you"|0
13|No wonder they didn't want ivermectin to get out. It fights cancer.|2
14|So ivermectin cures cancer and the media is silent|0
15|"After the Pandemic ""ventilators"", the lies about hydroxychloroquine and ivermectin, and the ""vaccine"" scam, can you ever trust the medical establishment again? They lied, patients died. Disgusting"|0
16|"Ivermectin the “cure”. The same drug that has been around for 40 years, won a Nobel prize & is safer to take than Panadol. As soon as reports about the effectiveness of this drug emerged 18 months ago Govts around the world banned its sale as they wanted everyone WTF up!"|0
1|Ivermectin works. I know this because my entire family took it. Idgaf what the experts say. I watched it save the life of my 76 year old MIL who they were going to put on a intubation before we had her discharged. We live in a world of lies.|2
2|The CDC is recommending ivermectin to incoming refugees - wow!! This is replacement of US citizens - no question 100% - they don’t have to get the shot - evil mixture of who knows what injected and now they get ivermectin as a prophylactic!!|0
3|Anti-parasite drug ivermectin can suppress ovarian cancer by regulating lncRNA-EIF4A3-mRNA axes|1
4|So I can go to a safe injection site and have someone watch me do heroine that was purchased from the street but Ivermectin from a Doctor is far too dangerous to my health……. Right……|0
5|"I’m going to the hospital. They say I can’t come in. I don’t care. I’m advocating for MY MOTHER. They will NOT put her on a vent , they will NOT give her remdesevere .. they WILL give her Hydroxychloroquine and ivermectin. If I end up in jail i don’t care. I’ll get in.. try me."|0
6|"Don’t shoot the messenger....but you better pay attention. All the drugs “they” said we shouldn’t take, like Ivermectin, Hydroxychloriquine and Quercetin are all part of defense to snake venom. You can’t make this up"|0
7|I'm old and fat and non-vaxxed. I started taking 7500 IU of vitamin D3 per day. Quercetin and zinc 2 times/week. Got on treadmill 10 miles a week. Got Omicron in Jan. Took 48 mg of ivermectin per day or 2 days. Mildly ill for 36 hours. Now I rarely get sick.|2
8|Yes it does!! I’m a Registered Respiratory Therapist who has worked in COVID ICU units yet I treated my husband and myself successfully with IVERMECTIN!|2
9|"Dr. Paul Marik: ""Ivermectin is the biggest threat to the vaccine industry, which is worth a trillion or more dollars. It's the biggest threat to this global conspiracy. So they will do whatever they can....to discredit it."""|0
10|"My 4yo Trans daughter started identifying as a furry a few days ago. In order to be supportive and to provide her with the healthcare she obviously needs,I gave her Ivermectin. When I told them, my Trans feminist book club called me 'science denier'. I'm not sure how to react "|0
11|They could not find a good enough excuse to remove their Ivermectin malaria meds that just so happened to protect them from other parasites - BIG PHARMA and Gates.|0
12|"The LORD hears. Thank you for praying my mother has opted to Come home and take the meds that work. Ivermectin/monoclonal antibodies, and Hydroxychloroquine. It’s a CRIME they don’t offer what works in the hospital. Absolutely a crime. Please pray for my moms recovery. Thank you"|0
13|No wonder they didn't want ivermectin to get out. It fights cancer.|2
14|So ivermectin cures cancer and the media is silent|0
15|"After the Pandemic ""ventilators"", the lies about hydroxychloroquine and ivermectin, and the ""vaccine"" scam, can you ever trust the medical establishment again? They lied, patients died. Disgusting"|0
16|"Ivermectin the “cure”. The same drug that has been around for 40 years, won a Nobel prize & is safer to take than Panadol. As soon as reports about the effectiveness of this drug emerged 18 months ago Govts around the world banned its sale as they wanted everyone WTF up!"|0